,Product_id,Stall_no,instock_date,Market_Category,Customer_name,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price
0,SCHE4YSTDVPVZVXW,39.0,2016-01-13 07:45:08.000,205,Ivanka,0,3,0,90,0,380.0,16.0,2576.0,3340,3071.247408
1,ACCEGCATKHNRXUHW,49.0,2015-08-23 20:37:05.000,3,Isaak,1,3,0,87,0,393.0,16.0,1202.0,1955,2165.543424
2,NKCE6GJ5XVJDXNNZ,1.0,2015-11-14 18:12:39.000,183,Analiese,0,9,2,55,0,493.0,9.0,7175.0,15715,12023.007579
3,NKCEB8BK3ZXDHDHM,8.0,2015-11-21 04:56:19.000,358,Rusty,1,0,3,86,0,303.0,16.0,5404.0,13078,9904.810896
4,TOPEFDXSAHRNPF94,33.0,2015-05-06 15:09:46.000,167,Eloise,0,9,0,27,0,567.0,16.0,4069.0,6244,5623.3584
5,ACCE558KZHEPZYMG,28.0,2016-03-18 18:16:45.000,62,Dariah,1,9,0,38,0,478.0,15.0,4545.0,13745,9555.55056
6,ACCEAZCVAMFHDPY7,5.0,2015-08-16 20:12:39.000,104,Felipe,1,5,0,58,0,215.0,14.0,2594.0,7519,5169.54375
7,NKCDYNY37JPBGBVM,12.0,2015-09-24 16:25:16.000,23,Hadi,0,6,2,31,0,122.0,7.0,959.0,3850,2729.41935
8,NKCEY8KWY33FCUYD,48.0,2015-11-21 07:35:44.000,24,Sapphira,1,7,0,69,0,106.0,9.0,6347.0,8520,7449.2103
9,RNGE4YPTQYRECV9J,16.0,2015-08-16 22:23:27.000,23,Mariyah,0,8,0,5,0,221.0,5.0,1534.0,7249,4047.8592
10,NKCE88AHBHJZREXH,23.0,2015-09-26 14:18:31.000,294,Yechiel,0,9,2,91,0,601.0,9.0,2516.0,4208,3737.866176
11,CLTEJ5ZZGBP4JGGE,10.0,2015-05-09 14:11:55.000,283,Alena,1,3,0,1,0,381.0,16.0,3815.0,11372,8058.10425
12,WATE3NWH5FZWAMDA,3.0,2016-03-28 21:00:46.000,94,Makinlee,1,5,2,11,0,242.0,7.0,1586.0,14183,7816.0401
13,CAGE53FSFZVFPFHQ,35.0,2016-01-02 07:16:53.000,101,Luiz,0,5,0,10,0,308.0,5.0,1305.0,1625,1703.689614
14,PCSEAKVBFFPGCHNZ,30.0,2016-03-14 14:07:24.000,450,Shanvi,0,7,0,42,0,164.0,4.0,2286.0,5050,3739.6275
15,WATDFFH3KJYBTYGG,8.0,2016-03-28 00:37:32.000,0,Zeena,1,3,0,18,0,369.0,17.0,2514.0,11725,7801.5069
16,NKCDWHFQSCHHYZMP,40.0,2015-10-21 22:34:52.000,0,Fabiana,0,3,0,33,0,366.0,16.0,1606.0,3195,2735.066466
17,RNGEB2PG3Q5RKDW6,43.0,2015-05-06 16:11:55.000,0,Leon,0,0,0,13,0,288.0,17.0,2307.0,4013,-3584.79555
18,NKCE5UY9HHPZGGUZ,40.0,2015-11-17 03:54:22.000,58,Mykah,1,4,0,83,0,252.0,17.0,3552.0,4887,4507.976704
19,KTAEHETW3ZCMFMJR,39.0,2014-11-08 20:15:45.000,383,Ella,1,7,1,93,0,139.0,1.0,3331.0,4734,4077.315
20,BRAEBBYRVF9MHJHU,34.0,2015-08-20 17:32:15.000,358,Lian,1,7,3,2,0,125.0,8.0,2458.0,12707,7719.7725
21,NKCEAX7HAQ2RJA3Q,22.0,2015-11-17 07:56:35.000,443,Hinda,0,9,0,96,0,601.0,15.0,7961.0,11803,10302.1578
22,CRTECN2RQZWBSP9W,34.0,2015-09-24 15:26:36.000,24,Antoinette,0,9,0,89,0,487.0,12.0,3965.0,5150,4998.5001
23,WATDEWZ9UHSEHGZG,42.0,2016-03-28 23:09:36.000,234,Daysi,0,9,1,85,0,468.0,10.0,7190.0,11064,9604.1583
24,PTPEYW8HNV6G9YYR,37.0,2015-09-26 16:20:18.000,152,Aariz,0,0,0,85,0,319.0,10.0,2025.0,3143,2985.2559
25,ACCEAMGZRRYVAHDC,12.0,2016-03-30 20:00:09.000,218,Lynnix,1,6,3,42,0,121.0,9.0,2389.0,7356,5169.54375
26,SRTEHHXG8MUXTGPA,38.0,2015-05-09 17:19:52.000,452,Sincere,1,0,0,63,0,304.0,17.0,5012.0,6396,5914.9134
27,SKIE4S4NN4MHYM3Z,31.0,2016-03-30 02:58:51.000,283,Elie,0,7,0,74,0,107.0,1.0,2656.0,7240,5284.3161
28,HMBE7G34YHWPWKYN,35.0,2015-08-16 21:18:19.000,449,Aislinn,1,9,0,58,0,603.0,8.0,5453.0,8029,7211.280384
29,LLIEGTMFJBD7ZZZM,21.0,2015-05-09 17:20:59.000,17,Alyson,1,6,0,67,0,128.0,7.0,11645.0,16033,13953.094551
30,ACCEJGH6JVTM4CBH,1.0,2016-02-21 01:01:29.000,63,Aubre,1,3,1,14,1,378.0,13.0,3031.0,7780,865.8657648
31,ACCDQDYBXJ9HZF37,37.0,2016-03-27 21:37:49.000,0,Lakayla,1,6,0,31,0,127.0,7.0,8465.0,11421,10049.197312
32,RNGE88FRGZCXNKUG,6.0,2015-05-08 13:03:22.000,320,Lorelei,0,8,0,93,1,228.0,3.0,1680.0,6359,631.10124
33,NKCE7M3QNNPZDXHQ,10.0,2015-11-18 06:54:43.000,358,Suzette,0,8,3,86,0,228.0,1.0,5735.0,14547,10218.878775
34,VLBEGFFDP9H6WG2T,20.0,2015-11-10 16:09:25.000,3,Jaziyah,1,7,0,85,0,194.0,7.0,2521.0,4241,3457.5849
35,TOPEAFG4YEQSH5TT,10.0,2015-08-22 18:48:14.000,59,Dalila,1,0,2,61,0,291.0,14.0,1706.0,2621,2569.081968
36,WATEYAP3K2QQQWDH,40.0,2016-03-28 23:41:05.000,23,Finn,1,9,2,18,0,566.0,12.0,2732.0,6907,5079.718875
37,PCSEBDFUFJWGARNX,32.0,2016-03-13 11:40:25.000,113,Lainee,1,5,0,24,0,213.0,11.0,7694.0,13317,10872.942597
38,SWTEGXQFZY95SKG7,39.0,2015-08-23 21:48:23.000,451,Janiah,0,5,0,73,0,297.0,14.0,3797.0,5431,4786.002288
39,BRAEGJFXSM9ZQ6SK,28.0,2016-03-29 01:16:06.000,294,Sonny,0,6,2,78,0,144.0,9.0,1219.0,11812,7038.553984
40,CAGE6FYKP34GA4GF,44.0,2016-01-05 05:04:35.000,358,Taylyn,0,1,3,73,0,297.0,15.0,3247.0,11107,7025.941125
41,HMBEJCMH78VJF3M8,22.0,2015-08-22 21:36:09.000,58,Avion,0,4,0,95,0,217.0,11.0,3136.0,5354,4297.649664
42,HIFEB7J3GSTVN5XJ,8.0,2015-11-17 03:54:31.000,358,Renae,1,4,3,26,0,272.0,16.0,5120.0,15998,10786.640832
43,PBXE6ZHNGZREWWHR,39.0,2016-01-26 23:03:39.000,55,Joleen,1,6,0,94,0,101.0,7.0,3100.0,6154,4693.87072
44,PCSEAKVBNXFGZBKB,1.0,2016-03-16 06:48:53.000,58,Jhon,1,1,0,87,0,230.0,16.0,5770.0,7497,6750.729216
45,BRAEBBMQQNZ9RZWR,43.0,2015-08-18 21:08:34.000,87,Rashad,1,3,0,50,0,390.0,13.0,4456.0,6324,5986.6884
46,ACCEGKFCXHZZH44S,28.0,2016-02-26 11:12:47.000,403,Shanti,0,8,0,10,1,224.0,3.0,3908.0,5511,751.78782
47,SHODXQRRGKZ74U9M,27.0,2015-09-22 14:24:59.000,469,Emalee,0,5,2,55,0,317.0,13.0,3287.0,4720,4119.61088
48,DREE2Y6DVEKVVQQS,44.0,2015-05-06 13:13:23.000,24,Zander,0,2,0,54,0,264.651185051609,6.0,3633.0,4906,4522.794675
49,PBXE8ZHHG5Y525BT,8.0,2015-11-18 05:56:11.000,451,Faiga,1,8,0,86,0,241.0,2.0,6090.0,7332,7004.3094
50,CTTEH9FXZHGFKUA3,6.0,2016-03-11 00:51:36.000,199,Thang,1,3,0,29,0,370.0,14.0,6676.0,8733,8088.510096
51,ACCDXFZXGQTBTM6N,46.0,2016-03-27 20:11:53.000,23,Jaelle,1,1,2,17,0,287.0,14.0,1979.0,4628,4107.171525
52,NKCE9PFF3TT4KSQJ,39.0,2015-11-20 03:56:21.000,447,Alyssia,0,7,0,70,0,183.0,4.0,5095.0,10441,8317.37592
53,BRAE6NZAZK77HXZK,35.0,2015-08-21 18:48:47.000,11,Rosalind,1,7,3,94,0,122.0,9.0,536.0,928,747.074944
54,NKCE4TV42BHDP63U,46.0,2015-09-24 14:23:29.000,74,Kinzie,1,1,0,14,0,258.0,15.0,2752.0,3557,3441.389952
55,AIREDGGD9RJPZGYW,12.0,2015-05-07 17:11:13.000,443,Francesca,1,4,0,14,0,239.0,15.0,4536.0,6217,5581.211823
56,PCSEDAPMHR2HNHWP,3.0,2016-03-27 22:52:13.000,204,Neema,1,4,0,80,0,265.0,10.0,4761.0,11517,8483.091606
57,PACE95FMAFXHZB5C,19.0,2015-09-23 15:24:08.000,443,Janyla,0,5,0,3,0,211.0,11.0,3390.0,5229,4536.406314
58,WATDG4KP445AV5XC,19.0,2016-03-28 19:43:17.000,358,Jamire,1,5,3,34,0,286.0,13.0,8348.0,18952,12808.985728
59,ACCE9EYRRNZYZUBG,11.0,2015-09-26 17:26:49.000,23,Karrington,0,9,2,98,1,461.0,16.0,1160.0,4344,479.9167296
60,ACCE8XZMAHNC8JVS,39.0,2015-08-16 19:14:37.000,80,Raina,1,3,0,31,1,357.0,14.0,3157.0,4886,605.767008
61,SHOED5DCSTQKZCGF,28.0,2015-04-26 16:32:44.000,268,,1,7,2,8,0,198.0,9.0,1667.0,5541,4084.22385
62,NKCE64Z4NGBHNAY7,45.0,2015-09-24 15:25:02.000,65,Jahir,0,0,2,26,0,270.0,12.0,2491.0,4032,3476.6067
63,PBXE8WQTZ5GA2YYQ,11.0,2015-11-18 06:56:21.000,11,Adon,0,6,3,37,0,134.0,9.0,482.0,756,814.2393
